address,description,info,overview
"{'street_name': 'Geluwestraat 5', 'postal_code': '8700', 'town_name': 'Tielt'}",House,"{'Building price excluding VAT': '€354,000', 'Land price excluding taxes': 'Not specified', 'Building VAT': 'Not specified', 'Taxes related to land': 'Not specified', 'Total price including taxes*': 'Not specified', 'Number of floors': '2', 'Building condition': 'As new', 'Number of frontages': '3', 'Kitchen type': 'Hyper equipped', 'Bedrooms': '3', 'Dressing room': 'No', 'Bathrooms': '2', 'Toilets': '2', 'Office': 'No', 'Furnished': 'No', 'Primary energy consumption': 'Not specified', 'Energy class': 'Not specified', 'Reference number of the EPC report': 'Not specified', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'E-level (overall energy performance)': '20', 'Conformity certification for fuel tanks': 'No', 'Heat pump': 'Yes', 'Double glazing': 'No', 'Planning permission obtained': 'Yes', 'Obligation to build': 'No', 'Subdivision permit': 'Yes', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Residential park', 'Tenement building': 'No', 'Address': 'Anspachlaan 1\n1000 - Brussel', 'Website': 'http://www.immobel.be', 'External reference': 'spirNb_14-4'}",4 bedrooms
"{'street_name': 'Geluwestraat 5', 'postal_code': '8700', 'town_name': 'Tielt'}","Exceptional new construction project for sale in the Zoute on a triple A location, extremely quiet location on second line near the Royal Zoute Tennis Club, the beach and the Zwin. Spacious garden with perfect orientation and direct access to the Zoutedijkske. The newly built villa will have the following layout: Ground floor: Spacious entrance hall with wardrobe, guest toilet and passenger elevator. Spacious stairwell and office room. Through the spacious entrance hall you enter the beautiful open kitchen with dining area and spacious sitting area with views over the perfectly oriented garden with swimming pool. Covered terrace. On the ground floor there will also be an extra shower room with toilet and utility room. Garage for 2 carsand a golf cart. Second floor: Spacious night hall with separate toilet. Second staircase giving access to the second floor. Master bedroom with spacious dressing room, fully equipped bathroom and toilet. Master bedroom also enjoys 2 spacious terraces giving out on the garden. Second bedroom with shower room. Third bedroom with ensuite bathroom. Fourth bedroom with shower room. All rooms have fitted wardrobes. Second floor: multipurpose room that can be used as a 5th bedroom and 5th bathroom. Technical room. The flat roof will be equipped with solar panels. Full basement with space for several cars, accessible by a car elevator. Wine cellar, techniques and multipurpose room (bar).","{'Building price excluding VAT': '€355,000', 'Land price excluding taxes': 'Not specified', 'Building VAT': 'Not specified', 'Taxes related to land': 'Not specified', 'Total price including taxes*': 'Not specified', 'Number of floors': '2', 'Building condition': 'As new', 'Number of frontages': '3', 'Kitchen type': 'Hyper equipped', 'Bedrooms': '4', 'Dressing room': 'No', 'Bathrooms': '2', 'Toilets': '2', 'Office': 'No', 'Furnished': 'No', 'Primary energy consumption': 'Not specified', 'Energy class': 'Not specified', 'Reference number of the EPC report': 'Not specified', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'E-level (overall energy performance)': '20', 'Conformity certification for fuel tanks': 'No', 'Heat pump': 'Yes', 'Double glazing': 'No', 'Planning permission obtained': 'Yes', 'Obligation to build': 'No', 'Subdivision permit': 'Yes', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Residential park', 'Tenement building': 'No', 'Address': 'Anspachlaan 1\n1000 - Brussel', 'Website': 'http://www.immobel.be', 'External reference': 'spir642'}",4 bedrooms
"{'street_name': 'Geluwestraat 5', 'postal_code': '8700', 'town_name': 'Tielt'}",,"{'Building price excluding VAT': '€367,000', 'Land price excluding taxes': 'Not specified', 'Building VAT': 'Not specified', 'Taxes related to land': 'Not specified', 'Total price including taxes*': 'Not specified', 'Number of floors': '2', 'Building condition': 'As new', 'Number of frontages': '3', 'Kitchen type': 'Hyper equipped', 'Bedrooms': '4', 'Dressing room': 'No', 'Bathrooms': '2', 'Toilets': '2', 'Office': 'No', 'Furnished': 'No', 'Primary energy consumption': 'Not specified', 'Energy class': 'Not specified', 'Reference number of the EPC report': 'Not specified', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'E-level (overall energy performance)': '20', 'Conformity certification for fuel tanks': 'No', 'Heat pump': 'Yes', 'Double glazing': 'No', 'Planning permission obtained': 'Yes', 'Obligation to build': 'No', 'Subdivision permit': 'Yes', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Residential park', 'Tenement building': 'No', 'Address': 'Anspachlaan 1\n1000 - Brussel', 'Website': 'http://www.immobel.be', 'External reference': 'spirNb_14-3'}",5 bedrooms
"{'street_name': 'Ask for the exact address', 'postal_code': '8300', 'town_name': 'Knokke-Heist Knokke'}",,"{'Building price excluding VAT': '€15,000,000', 'Land price excluding taxes': 'Not specified', 'Building VAT': 'Not specified', 'Taxes related to land': 'Not specified', 'Total price including taxes*': 'Not specified', 'Available as of': 'At delivery', 'Construction year': '2025', 'Building condition': 'As new', 'Number of frontages': '4', 'Covered parking spaces': '1', 'Outdoor parking spaces': '10', 'Living area': '1058 m²\nsquare meters', 'Living room surface': '44 m²\nsquare meters', 'Dining room': 'Yes', 'Kitchen type': 'USA hyper equipped', 'Kitchen surface': '46 m²\nsquare meters', 'Bedrooms': '5', 'Bedroom 1 surface': '22 m²\nsquare meters', 'Bedroom 2 surface': '19 m²\nsquare meters', 'Bedroom 3 surface': '19 m²\nsquare meters', 'Bedroom 4 surface': '19 m²\nsquare meters', 'Bedroom 5 surface': '29 m²\nsquare meters', 'Bathrooms': '5', 'Shower rooms': '4', 'Basement': 'Yes', 'Armored door': 'Yes', 'Surface of the plot': '2337 m²\nsquare meters', 'Gas, water & electricity': 'Yes', 'Terrace': 'Yes', 'Primary energy consumption': 'Not specified', 'Energy class': 'Not specified', 'Reference number of the EPC report': 'Not specified', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Subdivision permit': 'Yes', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Living area (residential, urban or rural)', 'Tenement building': 'No', 'Address': 'Sparrendreef 80\n8300 - Knokke', 'Website': 'http://www.immobrownknokke.be', 'External reference': '5555929'}",5 bedrooms
"{'street_name': 'Bronlaan 95', 'postal_code': '8300', 'town_name': 'Knokke-Zoute'}",,"{'Construction year': '2024', 'Number of floors': '2', 'Building condition': 'Good', 'Number of frontages': '4', 'Covered parking spaces': '6', 'Outdoor parking spaces': '4', 'Living area': '790 m²\nsquare meters', 'Kitchen type': 'Hyper equipped', 'Bedrooms': '5', 'Bathrooms': '5', 'Toilets': '3', 'Basement': 'Yes', 'Armored door': 'Yes', 'Surface of the plot': '1611 m²\nsquare meters', 'Connection to sewer network': 'Connected', 'Primary energy consumption': 'Not specified', 'Energy class': 'Not specified', 'Reference number of the EPC report': 'Not specified', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Heating type': 'Gas', 'Heat pump': 'Yes', 'Photovoltaic solar panels': 'Yes', 'Thermic solar panels': 'No', 'Double glazing': 'Yes', 'Obligation to build': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'P-score': 'B', 'G-score': 'C', 'Cadastral income': '€ 3,609\n3609 €', 'Tenement building': 'No', 'Address': 'Kustlaan 277\n8300 - Knokke-Heist', 'Website': 'http://www.knokkerealestate.com', 'External reference': '8173'}",5 bedrooms
"{'street_name': 'Ask for the exact address', 'postal_code': '8300', 'town_name': 'Knokke-Heist'}",,"{'Building price excluding VAT': '€11,450,000', 'Land price excluding taxes': 'Not specified', 'Building VAT': 'Not specified', 'Taxes related to land': 'Not specified', 'Total price including taxes*': 'Not specified', 'Available as of': 'After signing the deed', 'Available date': 'January 1 2024 - 12:00 AM', 'Construction year': '2026', 'Number of floors': '2', 'Building condition': 'To renovate', 'Number of frontages': '4', 'Covered parking spaces': '6', 'Outdoor parking spaces': '10', 'Kitchen type': 'Installed', 'Bedrooms': '5', 'Bedroom 1 surface': '24 m²\nsquare meters', 'Bedroom 2 surface': '22 m²\nsquare meters', 'Bedroom 3 surface': '20 m²\nsquare meters', 'Bedroom 4 surface': '20 m²\nsquare meters', 'Bedroom 5 surface': '20 m²\nsquare meters', 'Bathrooms': '5', 'Shower rooms': '5', 'Office': 'Yes', 'Basement': 'Yes', 'Attic': 'Yes', 'Furnished': 'No', 'Surface of the plot': '1611 m²\nsquare meters', 'Connection to sewer network': 'Connected', 'Gas, water & electricity': 'Yes', 'Garden surface': '1611 m²\nsquare meters', 'Terrace': 'Yes', 'Primary energy consumption': 'Not specified', 'Energy class': 'Not specified', 'Reference number of the EPC report': 'Not specified', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Thermic solar panels': 'Yes', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Living area (residential, urban or rural)', 'Cadastral income': '€ 3,609\n3609 €', 'Tenement building': 'No', 'Address': 'Albert plein 10\n8300 - Knokke - Heist', 'Website': 'http://www.cambierdenil.be', 'External reference': '5846589'}",5 bedrooms
address,description,info,overview
"{'street_name': 'Bronlaan 95', 'postal_code': '8300', 'town_name': 'Knokke'}","Project of an exclusive new construction villa, located in 2nd line, in a quiet location in the Zoute near the Royal Zoute Tennis Club, the Zwin and the beach. Layout of the villa:Ground floor:Entrance hall with checkroom and guest toilet. Elevator and staircase. Magnificent living space consisting of lounge with gas fireplace, opening onto the terrace and the beautifully landscaped garden (designed by Stijn Cornilly) with swimming pool enjoying a south-west orientation. Then dining area and open kitchen with island. The dining room and kitchen also open onto the terrace, as well as a covered dining area on the outside terrace. Utility room with cold storage. Separate office space. Sunny terrace overlooking the beautifully landscaped garden with swimming pool. Separate dressing room with shower, toilet and sink. Garage with space for 2 cars, bicycles and golf buggy.First floor:Night hall with toilet. Separate laundry room. Master bedroom with spacious dressing room, separate toilet and bathroom with bath, shower and double sink, as well as spacious outdoor terrace overlooking the garden and pool. Bedroom 2 with fitted wardrobes and ensuite shower room with sink. Bedroom 3 with fitted wardrobes and ensuite bathroom with bath, shower and double sink. Bedroom 4 with fitted wardrobes and ensuite shower room with sink. Second floor:Night hall. Storage room with techniques. Bedroom 5 with ensuite shower room and sink. Basement:Central hall ... Renovation obligation: NOT_APPLICABLE","{'Living area': '790 m²\nsquare meters', 'Bedrooms': '5', 'Bathrooms': '6', 'Toilets': '4', 'Surface of the plot': '1611 m²\nsquare meters', 'Connection to sewer network': 'Connected', 'Primary energy consumption': 'Not specified', 'Energy class': 'Not specified', 'Reference number of the EPC report': 'Not specified', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Heat pump': 'Yes', 'Photovoltaic solar panels': 'Yes', 'Thermic solar panels': 'No', 'Obligation to build': 'No', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'P-score': 'C', 'G-score': 'B', 'Tenement building': 'No', 'Address': 'Sparrendreef 90 – Kustlaan 239 – Duinbergenlaan 92\n8300 - Knokke-Heist', 'Website': 'http://www.pallen.be', 'External reference': 'Bronlaan 95 Nieuwbouw'}",5 bedrooms
"{'street_name': 'Ask for the exact address', 'postal_code': '8300', 'town_name': 'Knokke-Heist'}",Exceptional Villa,"{'Building price excluding VAT': '€8,995,000', 'Land price excluding taxes': 'Not specified', 'Building VAT': 'Not specified', 'Taxes related to land': 'Not specified', 'Total price including taxes*': 'Not specified', 'Available as of': 'At delivery', 'Available date': 'April 14 2025 - 12:00 AM', 'Construction year': '2025', 'Number of floors': '2', 'Number of frontages': '4', 'Covered parking spaces': '3', 'Outdoor parking spaces': '5', 'Kitchen type': 'USA hyper equipped', 'Bedrooms': '5', 'Bedroom 1 surface': '24 m²\nsquare meters', 'Bedroom 2 surface': '22 m²\nsquare meters', 'Bedroom 3 surface': '20 m²\nsquare meters', 'Bedroom 4 surface': '18 m²\nsquare meters', 'Bedroom 5 surface': '18 m²\nsquare meters', 'Bathrooms': '5', 'Shower rooms': '5', 'Toilets': '5', 'Surface of the plot': '1337 m²\nsquare meters', 'Gas, water & electricity': 'Yes', 'Garden surface': '1337 m²\nsquare meters', 'Terrace': 'Yes', 'Primary energy consumption': 'Not specified', 'Energy class': 'Not specified', 'Reference number of the EPC report': 'Not specified', 'CO₂ emission': '45 kg CO₂/m²', 'Yearly theoretical total energy consumption': 'Not specified', 'Planning permission obtained': 'Yes', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Living area (residential, urban or rural)', 'Tenement building': 'No', 'Address': 'Albert plein 10\n8300 - Knokke - Heist', 'Website': 'http://www.cambierdenil.be', 'External reference': '5845267'}",5 bedrooms
"{'street_name': 'Ask for the exact address', 'postal_code': '8300', 'town_name': 'Knokke-Heist Knokke'}","Exclusively for sale at Immo Brown : Charming finished villa nestled in the paths of the Zoute within walking distance of the Dominican Church. Layout of the villa : Spacious entrance hall. Cozy sitting area with desk space and dining area. Fully equipped kitchen with all comfort and Gaggenau appliances. Utility room with extra built-in frigo and custom made cupboards and laundry room. Access to the nice garden. Storage room. Second floor : spacious master bedroom with master bathroom and dressing room and nice view of the garden. Second bedroom with bathroom. Third bedroom with dressing room and bathroom. Second floor : spacious separate bedroom with sitting area and bathroom. Beautiful garden with outbuilding, in which there is a saunaand massage room. Space for parking 5 cars on the driveway. Indoor garage with built-in cabinets and with space for a golf car and bicycles. Automatic shutters on the ground floor and in the master bedroom. Domotica. Alarm. A site visit is highly recommended.","{'Available as of': 'After signing the deed', 'Available date': 'January 1 2025 - 12:00 AM', 'Number of floors': '2', 'Building condition': 'As new', 'Number of frontages': '4', 'Covered parking spaces': '1', 'Outdoor parking spaces': '5', 'Living area': '363 m²\nsquare meters', 'Kitchen type': 'Hyper equipped', 'Bedrooms': '4', 'Bathrooms': '4', 'Office': 'Yes', 'Attic': 'Yes', 'Surface of the plot': '1198 m²\nsquare meters', 'Gas, water & electricity': 'Yes', 'Terrace': 'Yes', 'Primary energy consumption': '388 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'D', 'Reference number of the EPC report': '1225487', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Heating type': 'Gas', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Latest land use designation': 'Living area (residential, urban or rural)', 'Cadastral income': '€ 2,763\n2763 €', 'Tenement building': 'No', 'Address': 'Sparrendreef 80\n8300 - Knokke', 'Website': 'http://www.immobrownknokke.be', 'External reference': '5618593'}",4 bedrooms
"{'street_name': 'Bronlaan 41', 'postal_code': '8300', 'town_name': 'Knokke-Zoute'}",Renovation obligation: no,"{'Construction year': '1988', 'Number of floors': '2', 'Building condition': 'As new', 'Number of frontages': '4', 'Covered parking spaces': '1', 'Outdoor parking spaces': '4', 'Living area': '578 m²\nsquare meters', 'Kitchen type': 'Hyper equipped', 'Bedrooms': '7', 'Bathrooms': '6', 'Toilets': '8', 'Armored door': 'No', 'Surface of the plot': '2031 m²\nsquare meters', 'Connection to sewer network': 'Connected', 'Primary energy consumption': '229 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'C', 'Reference number of the EPC report': '20230803-0002954263-RES-1', 'CO₂ emission': '26121 kg CO₂/m²', 'Yearly theoretical total energy consumption': 'Not specified', 'Heating type': 'Gas', 'Heat pump': 'No', 'Photovoltaic solar panels': 'No', 'Thermic solar panels': 'No', 'Double glazing': 'Yes', 'Obligation to build': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'P-score': 'A', 'G-score': 'A', 'Cadastral income': '€ 5,656\n5656 €', 'Tenement building': 'No', 'Address': 'Kustlaan 277\n8300 - Knokke-Heist', 'Website': 'http://www.knokkerealestate.com', 'External reference': '8041'}",7 bedrooms
"{'street_name': 'Hortensialaan 15', 'postal_code': '8300', 'town_name': 'Knokke-Heist'}",House,"{'Available as of': 'After signing the deed', 'Available date': 'February 1 2024 - 12:00 AM', 'Neighbourhood or locality': '2 - RAND ZOUTE', 'Construction year': '1999', 'Number of floors': '3', 'Building condition': 'Good', 'Number of frontages': '4', 'Covered parking spaces': '1', 'Outdoor parking spaces': '6', 'Surroundings type': 'Isolated', 'Living area': '900 m²\nsquare meters', 'Kitchen type': 'Hyper equipped', 'Bedrooms': '8', 'Bedroom 1 surface': '20 m²\nsquare meters', 'Bedroom 2 surface': '18 m²\nsquare meters', 'Bedroom 3 surface': '15 m²\nsquare meters', 'Bedroom 4 surface': '15 m²\nsquare meters', 'Bedroom 5 surface': '15 m²\nsquare meters', 'Bathrooms': '5', 'Shower rooms': '4', 'Toilets': '5', 'Office': 'Yes', 'Basement': 'Yes', 'Furnished': 'No', 'Surface of the plot': '2690 m²\nsquare meters', 'Connection to sewer network': 'Connected', 'Garden surface': '2690 m²\nsquare meters', 'Terrace': 'Yes', 'Primary energy consumption': 'Not specified', 'Energy class': 'Not specified', 'Reference number of the EPC report': 'Not specified', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Heating type': 'Fuel oil', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Tenement building': 'No', 'Address': 'Albert plein 10\n8300 - Knokke - Heist', 'Website': 'http://www.cambierdenil.be', 'External reference': '5569295'}",8 bedrooms
"{'street_name': 'Hortensialaan 15', 'postal_code': '8300', 'town_name': 'het Zoute'}",Renovation obligation: no,"{'Construction year': '2005', 'Building condition': 'Good', 'Number of frontages': '4', 'Surroundings type': 'Fitted out', 'Living area': '900 m²\nsquare meters', 'Bedrooms': '8', 'Dressing room': 'No', 'Bathrooms': '6', 'Toilets': '6', 'Armored door': 'No', 'Surface of the plot': '2690 m²\nsquare meters', 'Land is facing street': 'No', 'Wooded land': 'No', 'Plot at rear': 'No', 'Flat land': 'Yes', 'Connection to sewer network': 'Connected', 'Gas, water & electricity': 'No', 'Primary energy consumption': '241 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'C', 'Reference number of the EPC report': '2860774-RES-1', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Double glazing': 'No', 'Planning permission obtained': 'Yes', 'Type of building': 'All kind', 'Obligation to build': 'No', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Living area (residential, urban or rural)', 'Tenement building': 'No', 'Address': 'Driehoeksplein 1\n8300 - Knokke', 'Website': 'http://www.deva.be', 'External reference': '5573/DEVA'}",8 bedrooms
"{'street_name': 'Ask for the exact address', 'postal_code': '8300', 'town_name': 'Knokke-Heist'}","Extraordinary villa for sale, situated on a spacious land, in a very quiet location and in a residential area near the Old Mill. Layout: Entrance hall with cloakroom and guest toilet, very spacious living room with fireplace, a separate office with a gas fireplace, a dining room, a fully equiped kitchen with breakfast corner, pantry/laundry room and an extra cloakroom. Beautiful indoor pool with sitting area. 1st floor: master bedroom with pickled cupboards and a spacious bathroom (bath, shower, wc) and direct separate staircase to the indoor pool. 2nd room with private shower room.3rd and 4th bedrooms with shared bathroom.5th room with a separate external staircase. 2nd floor: Very large 6th room or multipurpose room, 7th bedroom, bathroom and wc. Separate studio with kitchen and shower room accessible from outside. The property is also fully under-basement equipped with a full wellness (2 saunas, infrared cabin, hamman, bath, shower, lounge area, technical rooms, several storage rooms). Pool house with kitchen. There is a garage for 2 cars and space for several cars outside.","{'Available as of': 'To be defined', 'Available date': 'October 31 2023 - 12:00 AM', 'Construction year': '2006', 'Building condition': 'As new', 'Number of frontages': '4', 'Covered parking spaces': '2', 'Outdoor parking spaces': '6', 'Virtual visit': 'Link to the virtual visit', 'Living area': '593 m²\nsquare meters', 'Kitchen type': 'Hyper equipped', 'Bedrooms': '6', 'Bathrooms': '3', 'Shower rooms': '2', 'Furnished': 'No', 'Surface of the plot': '2700 m²\nsquare meters', 'Terrace': 'Yes', 'Primary energy consumption': '241 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'C', 'Reference number of the EPC report': '20230407-0002860774-RES-1', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Heating type': 'Fuel oil', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Flood zone type': 'Non flood zone', 'Cadastral income': '€ 4,778\n4778 €', 'Tenement building': 'No', 'Address': 'Zeedijk Zoute 792\n8300 - Knokke-Heist', 'Website': 'http://www.dirkwillemyns.be', 'External reference': '5569309'}",6 bedrooms
"{'street_name': 'Hortensialaan 15', 'postal_code': '8300', 'town_name': 'Knokke'}",,"{'Available date': 'September 15 2023 - 12:00 AM', 'Number of floors': '3', 'Living area': '900 m²\nsquare meters', 'Kitchen type': 'Hyper equipped', 'Bedrooms': '7', 'Bathrooms': '5', 'Armored door': 'No', 'Surface of the plot': '2690 m²\nsquare meters', 'Primary energy consumption': 'Not specified', 'Energy class': 'Not specified', 'Reference number of the EPC report': 'Not specified', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'As built plan': 'No', 'Heating type': 'Fuel oil', 'Heat pump': 'No', 'Photovoltaic solar panels': 'No', 'Thermic solar panels': 'No', 'Double glazing': 'Yes', 'Obligation to build': 'No', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'P-score': 'B', 'G-score': 'A', 'Tenement building': 'No', 'Address': 'Zeedijk-Het Zoute 819\n8300 - Knokke', 'Website': 'http://www.immo-cauwe.be', 'External reference': 'V715'}",7 bedrooms
"{'street_name': 'Ask for the exact address', 'postal_code': '8300', 'town_name': 'Knokke-Heist Knokke'}",,"{'Construction year': '2002', 'Building condition': 'As new', 'Number of frontages': '4', 'Covered parking spaces': '1', 'Living area': '900 m²\nsquare meters', 'Bedrooms': '8', 'Bathrooms': '5', 'Office': 'Yes', 'Basement': 'Yes', 'Attic': 'Yes', 'Surface of the plot': '2700 m²\nsquare meters', 'Terrace': 'Yes', 'Primary energy consumption': '241 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'C', 'Reference number of the EPC report': '2860774', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Latest land use designation': 'Living area (residential, urban or rural)', 'Tenement building': 'No', 'Address': 'Sparrendreef 80\n8300 - Knokke', 'Website': 'http://www.immobrownknokke.be', 'External reference': '5569296'}",8 bedrooms
address,description,info,overview
"{'street_name': 'Bronlaan 95', 'postal_code': '8300', 'town_name': 'Het Zoute'}","Sorry, there is no English translation. Deze villa ligt verscholen in een weelderige groene omgeving en biedt totale privacy. Gelegen in het hartje van het Zoute en op wandelafstand van het strand, zee en het Zwin, nabij de Royal Zoute tennis Club.De villa is als volgt ingedeeld: bij binnenkomst is er een entree met vestiaire en een gastentoilet. De ruime woonkamer met veel lichtinval en kijkt uit op het terras, dat grenst aan een zonovergoten tuin met toegang tot het Zoutedijkske. De keuken is volledig uitgerust, en er zijn in totaal 5 ruime slaapkamers en 3 badkamers. Bovendien is er een zolder die de mogelijkheid biedt om een 6e slaapkamer te creëren. Ook is er een wasruimte en een technische ruimte beschikbaar. Voor het parkerenis er een garage voor 2 auto's en extra parkeerplaatsen bij de villa.De troeven van deze villa: • Privacy en mooie tuin• Exclusieve ligging in het Zoute vlakbij strand• Vele mogelijkheden; renovatie of er is een bouwvergunning voor een exclusieve villa aanwezig.Neem gerust contact op met Vastio voor meer gedetailleerde informatie of om een bezichtiging te regelen","{'Available as of': 'After signing the deed', 'Construction year': '1973', 'Number of floors': '2', 'Building condition': 'To renovate', 'Number of frontages': '4', 'Covered parking spaces': '3', 'Outdoor parking spaces': '4', 'Living area': '355 m²\nsquare meters', 'Kitchen type': 'Hyper equipped', 'Bedrooms': '5', 'Bathrooms': '3', 'Surface of the plot': '1613 m²\nsquare meters', 'Width of the lot on the street': '32.49 m\nmeters', 'Gas, water & electricity': 'Yes', 'Garden surface': '1350 m²\nsquare meters', 'Garden orientation': 'South West', 'Terrace': 'Yes', 'Primary energy consumption': '277 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'C', 'Reference number of the EPC report': '20210925-0002468779-RE2-1', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'As built plan': 'No', 'Heating type': 'Gas', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Living area (residential, urban or rural)', 'Tenement building': 'No', 'Address': 'Posthoornlaan 2\n9080 - Lochristi', 'External reference': '49 - 1310'}",5 bedrooms
"{'street_name': 'Ask for the exact address', 'postal_code': '8300', 'town_name': 'Knokke-Heist'}",House,"{'Available as of': 'After signing the deed', 'Available date': 'January 1 2024 - 12:00 AM', 'Construction year': '1972', 'Number of floors': '2', 'Building condition': 'To renovate', 'Number of frontages': '4', 'Covered parking spaces': '2', 'Outdoor parking spaces': '7', 'Living area': '355 m²\nsquare meters', 'Kitchen type': 'Installed', 'Bedrooms': '5', 'Bedroom 1 surface': '20 m²\nsquare meters', 'Bedroom 2 surface': '15 m²\nsquare meters', 'Bedroom 3 surface': '12 m²\nsquare meters', 'Bedroom 4 surface': '12 m²\nsquare meters', 'Bedroom 5 surface': '10 m²\nsquare meters', 'Bathrooms': '3', 'Shower rooms': '2', 'Toilets': '3', 'Attic': 'Yes', 'Furnished': 'No', 'Surface of the plot': '1611 m²\nsquare meters', 'Connection to sewer network': 'Connected', 'Gas, water & electricity': 'Yes', 'Terrace': 'Yes', 'Primary energy consumption': '277 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'C', 'Reference number of the EPC report': '2468779', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Heating type': 'Gas', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Cadastral income': '€ 3,609\n3609 €', 'Tenement building': 'No', 'Address': 'Albert plein 10\n8300 - Knokke - Heist', 'Website': 'http://www.cambierdenil.be', 'External reference': '5485630'}",5 bedrooms
